X.1,X,etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
57,57,57,2013-11-26 22:30:08.289478,147       ,2006-01-01 00:00:00,三信商業銀行,5388,1.5515e+10,2001,4.782e+09,9206,3.926e+09,0,0,19555,1.0806e+10
58,58,58,2013-11-26 22:30:08.033819,012       ,2006-01-01 00:00:00,台北富邦銀行,113624,1.92637e+11,5684,7.953e+09,5263,2.15e+09,257,5.9e+07,358831,5.1487e+10
59,59,59,2013-11-26 22:30:08.089764,078       ,2006-01-01 00:00:00,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
60,60,60,2013-11-26 22:30:08.291786,151       ,2006-01-01 00:00:00,第七商業銀行,5781,1.0932e+10,1956,2.507e+09,15,8e+06,0,0,221,5e+06
61,61,61,2013-11-26 22:30:08.293954,085       ,2006-01-01 00:00:00,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
62,62,62,2013-11-26 22:30:08.091782,092       ,2006-01-01 00:00:00,瑞士商瑞士銀行,0,0,0,0,0,0,0,0,0,0
63,63,63,2013-11-26 22:30:08.296091,816       ,2006-01-01 00:00:00,安泰商業銀行,21553,4.7331e+10,9544,2.0016e+10,16690,4.704e+09,381,4.8e+07,69563,3.3422e+10
64,64,64,2013-11-26 22:30:08.298283,N019      ,2006-01-01 00:00:00,香港東亞銀行,0,0,0,0,0,0,0,0,764,2.69e+08
65,65,65,2013-11-26 22:30:07.976752,040       ,2006-01-01 00:00:00,中華開發工業銀行,10,2.6e+07,0,0,0,0,0,0,79,3.2e+07
66,66,66,2013-11-26 22:30:07.986721,008       ,2006-01-01 00:00:00,華南商業銀行,79290,1.8849e+11,30347,2.4399e+10,8555,3.961e+09,8379,3.731e+09,279736,2.3126e+10
67,67,67,2013-11-26 22:30:08.004201,163       ,2006-01-01 00:00:00,彰化第十信用合作社,834,1.116e+09,5,3e+06,0,0,0,0,14,2e+06
68,68,68,2013-11-26 22:30:08.035829,023       ,2006-01-01 00:00:00,泰國盤谷銀行,3,2e+06,0,0,0,0,0,0,0,0
69,69,69,2013-11-26 22:30:08.093797,108       ,2006-01-01 00:00:00,陽信商業銀行,20903,4.0404e+10,4355,7.458e+09,4,2e+06,0,0,29820,6.884e+09
70,70,70,2013-11-26 22:30:08.300343,808       ,2006-01-01 00:00:00,玉山商業銀行,38904,1.2126e+11,38811,8.151e+10,0,0,24,2e+06,211364,2.2793e+10
71,71,71,2013-11-26 22:30:08.302045,-01       ,2006-01-01 00:00:00,寶華商業銀行,14893,1.9104e+10,14487,1.7016e+10,12381,3.642e+09,8,9e+06,115033,1.1932e+10
72,72,72,2013-11-26 22:30:08.097937,178       ,2006-01-01 00:00:00,嘉義市第三信用合作社,947,1.279e+09,697,1.728e+09,0,0,0,0,932,4.84e+08
73,73,73,2013-11-26 22:30:08.037808,N003      ,2006-01-01 00:00:00,臺南區中小企業銀行,15664,2.5684e+10,7655,1.0447e+10,5,1e+06,2,1e+06,11020,4.958e+09
74,74,74,2013-11-26 22:30:08.10034,815       ,2006-01-01 00:00:00,日盛國際商業銀行,30939,4.9123e+10,6129,1.2236e+10,57793,2.2525e+10,0,0,143195,2.3654e+10
75,75,75,2013-11-26 22:30:08.102614,098       ,2006-01-01 00:00:00,日商三菱東京日聯銀行,0,0,0,0,0,0,0,0,0,0
76,76,76,2013-11-26 22:30:08.006027,029       ,2006-01-01 00:00:00,新加坡大華銀行,0,0,0,0,0,0,0,0,0,0
77,77,77,2013-11-26 22:30:08.039758,011       ,2006-01-01 00:00:00,上海商業儲蓄銀行,33615,7.7429e+10,98,7.2e+07,7,4e+06,0,0,3940,8.81e+08
78,78,78,2013-11-26 22:30:08.10463,007       ,2006-01-01 00:00:00,第一商業銀行,72442,1.85167e+11,31548,5.403e+10,14893,3.51e+09,20568,7.809e+09,33858,1.0231e+10
79,79,79,2013-11-26 22:30:08.106754,N007      ,2006-01-01 00:00:00,荷商安銀銀行,0,0,0,0,0,0,0,0,1,1e+06
80,80,80,2013-11-26 22:30:08.0418,N004      ,2006-01-01 00:00:00,新竹市第一信用合作社,3441,8.076e+09,11,3.3e+07,0,0,0,0,176,8.5e+07
81,81,81,2013-11-26 22:30:08.110963,325       ,2006-01-01 00:00:00,香港上海匯豐銀行,18470,6.2259e+10,23,3e+06,0,0,0,0,46087,1.9934e+10
82,82,82,2013-11-26 22:30:08.113521,814       ,2006-01-01 00:00:00,大眾商業銀行,23424,5.7225e+10,375,3.74e+08,0,0,0,0,299942,2.2912e+10
83,83,83,2013-11-26 22:30:07.989612,822       ,2006-01-01 00:00:00,中國信託商業銀行,187474,3.08367e+11,15208,1.7148e+10,45526,1.4248e+10,0,0,792502,1.18619e+11
84,84,84,2013-11-26 22:30:08.010952,037       ,2006-01-01 00:00:00,法國興業銀行,0,0,0,0,0,0,0,0,0,0
85,85,85,2013-11-26 22:30:08.044151,097       ,2006-01-01 00:00:00,美商富國銀行,0,0,0,0,0,0,0,0,0,0
86,86,86,2013-11-26 22:30:08.115642,N008      ,2006-01-01 00:00:00,台北縣淡水信用合作社,1709,3.824e+09,751,1.135e+09,0,0,0,0,313,8.4e+08
87,87,87,2013-11-26 22:30:08.117849,101       ,2006-01-01 00:00:00,台北市第一信用合作社,3628,8.887e+09,3540,3.813e+09,0,0,0,0,2801,8.98e+08
88,88,88,2013-11-26 22:30:08.046369,106       ,2006-01-01 00:00:00,台北市第九信用合作社,0,0,0,0,0,0,0,0,508,1.08e+08
89,89,89,2013-11-26 22:30:08.11979,022       ,2006-01-01 00:00:00,美商美國銀行,1,9e+06,0,0,0,0,19,3e+06,0,0
90,90,90,2013-11-26 22:30:08.213981,048       ,2006-01-01 00:00:00,臺灣工業銀行,5,1.3e+07,0,0,0,0,0,0,0,0
91,91,91,2013-11-26 22:30:08.013069,224       ,2006-01-01 00:00:00,金門縣信用合作社,0,0,0,0,0,0,0,0,0,0
92,92,92,2013-11-26 22:30:08.048594,091       ,2006-01-01 00:00:00,美商加州聯合銀行,0,0,0,0,0,0,0,0,0,0
93,93,93,2013-11-26 22:30:08.219581,N009      ,2006-01-01 00:00:00,合作金庫銀行,167057,2.70545e+11,55477,7.4689e+10,36,7e+06,123132,4.6978e+10,24414,1.0174e+10
94,94,94,2013-11-26 22:30:08.221991,N010      ,2006-01-01 00:00:00,美商美國紐約銀行,0,0,0,0,0,0,0,0,0,0
95,95,95,2013-11-26 22:30:08.05064,118       ,2006-01-01 00:00:00,板信商業銀行,26425,4.7583e+10,435,6.26e+08,299,8.3e+07,0,0,91776,1.277e+10
96,96,96,2013-11-26 22:30:08.224286,030       ,2006-01-01 00:00:00,美商道富銀行,0,0,0,0,0,0,0,0,0,0
97,97,97,2013-11-26 22:30:08.226418,N011      ,2006-01-01 00:00:00,澎湖縣第二信用合作社,565,8.85e+08,84,7.5e+07,12,9e+06,0,0,953,3.72e+08
98,98,98,2013-11-26 22:30:08.397933,118       ,2006-02-01 00:00:00,板信商業銀行,26447,4.7315e+10,425,6.16e+08,286,7.7e+07,0,0,91184,1.2512e+10
99,99,99,2013-11-26 22:30:08.400302,N005      ,2006-02-01 00:00:00,高雄第三信用合作社,2216,2.496e+09,6797,1.0195e+10,0,0,976,5.63e+08,2850,9.33e+08
100,100,100,2013-11-26 22:30:08.402322,222       ,2006-02-01 00:00:00,澎湖縣第一信用合作社,62,1.52e+08,23,3.9e+07,0,0,0,0,173,8e+07
101,101,101,2013-11-26 22:30:08.404292,216       ,2006-02-01 00:00:00,花蓮第二信用合作社,4036,6.777e+09,6430,1.0833e+10,0,0,2226,1.005e+09,124,1.2e+07
102,102,102,2013-11-26 22:30:08.406273,005       ,2006-02-01 00:00:00,臺灣土地銀行,295644,4.36015e+11,55216,6.0144e+10,289,2.19e+08,127875,5.7806e+10,71618,6.785e+09
103,103,103,2013-11-26 22:30:08.408544,083       ,2006-02-01 00:00:00,英商渣打銀行,5320,1.2113e+10,0,0,0,0,0,0,13427,1.805e+09
104,104,104,2013-11-26 22:30:08.514748,024       ,2006-02-01 00:00:00,美國運通銀行,0,0,1,1e+06,0,0,0,0,44441,7.529e+09
105,105,105,2013-11-26 22:30:08.520341,N006      ,2006-02-01 00:00:00,澳商澳洲紐西蘭銀行,3,8e+06,0,0,0,0,0,0,0,0
106,106,106,2013-11-26 22:30:08.522698,161       ,2006-02-01 00:00:00,彰化第五信用合作社,528,8.54e+08,11,1.5e+07,0,0,0,0,16,6e+06
107,107,107,2013-11-26 22:30:08.52536,025       ,2006-02-01 00:00:00,菲律賓首都銀行,0,0,0,0,0,0,0,0,488,3.6e+07
108,108,108,2013-11-26 22:30:08.530195,807       ,2006-02-01 00:00:00,建華商業銀行,79559,1.66099e+11,15480,2.1123e+10,9687,3.902e+09,0,0,25787,1.3793e+10
109,109,109,2013-11-26 22:30:08.532683,087       ,2006-02-01 00:00:00,斐商標準銀行,0,0,0,0,0,0,0,0,0,0
110,110,110,2013-11-26 22:30:08.535,188       ,2006-02-01 00:00:00,台南第三信用合作社,2901,5.053e+09,99,7.9e+07,0,0,0,0,5493,1.45e+08
111,111,111,2013-11-26 22:30:08.537148,139       ,2006-02-01 00:00:00,苗栗縣竹南信用合作社,3201,4.6e+09,863,6.49e+08,0,0,0,0,897,5.7e+07
112,112,112,2013-11-26 22:30:08.539018,215       ,2006-02-01 00:00:00,花蓮第一信用合作社,2570,4.38e+09,1390,2.127e+09,0,0,197,8e+07,2325,7.09e+08
113,113,113,2013-11-26 22:30:08.541736,078       ,2006-02-01 00:00:00,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
114,114,114,2013-11-26 22:30:08.544119,092       ,2006-02-01 00:00:00,瑞士商瑞士銀行,0,0,0,0,0,0,0,0,0,0
115,115,115,2013-11-26 22:30:08.546253,108       ,2006-02-01 00:00:00,陽信商業銀行,21665,4.1917e+10,4402,7.399e+09,4,2e+06,0,0,29706,6.77e+09
116,116,116,2013-11-26 22:30:08.550454,178       ,2006-02-01 00:00:00,嘉義市第三信用合作社,927,1.262e+09,737,1.807e+09,0,0,0,0,902,4.66e+08
117,117,117,2013-11-26 22:30:08.552467,815       ,2006-02-01 00:00:00,日盛國際商業銀行,31036,4.936e+10,6216,1.2241e+10,58490,2.2555e+10,0,0,137827,2.2743e+10
118,118,118,2013-11-26 22:30:08.554643,098       ,2006-02-01 00:00:00,日商三菱東京日聯銀行,0,0,0,0,0,0,0,0,0,0
119,119,119,2013-11-26 22:30:08.556643,007       ,2006-02-01 00:00:00,第一商業銀行,72510,1.85624e+11,31514,5.4052e+10,14551,3.385e+09,20175,7.543e+09,33485,1.0402e+10
120,120,120,2013-11-26 22:30:08.55873,N007      ,2006-02-01 00:00:00,荷商安銀銀行,0,0,0,0,0,0,0,0,1,1e+06
121,121,121,2013-11-26 22:30:08.562671,325       ,2006-02-01 00:00:00,香港上海匯豐銀行,18623,6.2837e+10,23,3e+06,0,0,0,0,46263,1.9917e+10
122,122,122,2013-11-26 22:30:08.564548,814       ,2006-02-01 00:00:00,大眾商業銀行,23448,5.722e+10,364,3.63e+08,0,0,0,0,293342,2.2522e+10
123,123,123,2013-11-26 22:30:08.566785,N008      ,2006-02-01 00:00:00,台北縣淡水信用合作社,1699,3.85e+09,746,1.125e+09,0,0,0,0,301,8.28e+08
124,124,124,2013-11-26 22:30:08.569193,101       ,2006-02-01 00:00:00,台北市第一信用合作社,3654,8.989e+09,3428,3.842e+09,0,0,0,0,2732,8.78e+08
125,125,125,2013-11-26 22:30:08.571329,022       ,2006-02-01 00:00:00,美商美國銀行,1,9e+06,0,0,0,0,17,3e+06,0,0
126,126,126,2013-11-26 22:30:08.573343,048       ,2006-02-01 00:00:00,臺灣工業銀行,5,1.3e+07,0,0,0,0,0,0,0,0
127,127,127,2013-11-26 22:30:08.577504,N009      ,2006-02-01 00:00:00,合作金庫銀行,167612,2.74495e+11,55567,7.4747e+10,36,6e+06,123148,4.6099e+10,24888,1.0157e+10
128,128,128,2013-11-26 22:30:08.579472,N010      ,2006-02-01 00:00:00,美商美國紐約銀行,0,0,0,0,0,0,0,0,0,0
129,129,129,2013-11-26 22:30:08.581461,030       ,2006-02-01 00:00:00,美商道富銀行,0,0,0,0,0,0,0,0,0,0
130,130,130,2013-11-26 22:30:08.583423,N011      ,2006-02-01 00:00:00,澎湖縣第二信用合作社,573,8.9e+08,84,7.4e+07,12,9e+06,0,0,942,3.7e+08
131,131,131,2013-11-26 22:30:08.586136,803       ,2006-02-01 00:00:00,聯邦商業銀行,36063,6.4921e+10,11855,2.1837e+10,49509,1.5562e+10,258,5.8e+07,369238,1.3051e+10
132,132,132,2013-11-26 22:30:08.588393,114       ,2006-02-01 00:00:00,基隆市第一信用合作社,5334,7.476e+09,1178,8.67e+08,0,0,0,0,5260,2.675e+09
133,133,133,2013-11-26 22:30:08.59069,N012      ,2006-02-01 00:00:00,法國東方匯理銀行,10,4e+07,0,0,0,0,0,0,0,0
134,134,134,2013-11-26 22:30:08.592617,N013      ,2006-02-01 00:00:00,英商巴克萊銀行,0,0,0,0,0,0,0,0,0,0
135,135,135,2013-11-26 22:30:08.59465,052       ,2006-02-01 00:00:00,新竹國際商業銀行,38104,7.5847e+10,11172,1.6362e+10,394,1.04e+08,2,1e+06,220175,5.8132e+10
136,136,136,2013-11-26 22:30:08.596631,090       ,2006-02-01 00:00:00,加拿大商豐業銀行,0,0,0,0,0,0,0,0,0,0
137,137,137,2013-11-26 22:30:08.599117,013       ,2006-02-01 00:00:00,國泰世華商業銀行,135194,2.42659e+11,7144,1.0417e+10,40249,3.657e+09,0,0,342143,3.0707e+10
138,138,138,2013-11-26 22:30:08.601307,095       ,2006-02-01 00:00:00,美商美聯銀行,0,0,0,0,0,0,0,0,0,0
139,139,139,2013-11-26 22:30:08.603324,015       ,2006-02-01 00:00:00,中國輸出入銀行,0,0,0,0,0,0,0,0,0,0
140,140,140,2013-11-26 22:30:08.605321,N014      ,2006-02-01 00:00:00,新竹市第三信用合作社,2686,5.397e+09,344,2.73e+08,0,0,0,0,1940,6.12e+08
141,141,141,2013-11-26 22:30:08.609692,072       ,2006-02-01 00:00:00,德商德意志銀行,0,0,0,0,0,0,0,0,0,0
142,142,142,2013-11-26 22:30:08.611925,N015      ,2006-02-01 00:00:00,臺中商業銀行,28161,4.9237e+10,1102,4.95e+08,11,1.5e+07,4353,3.224e+09,87033,1.1652e+10
143,143,143,2013-11-26 22:30:08.613991,009       ,2006-02-01 00:00:00,彰化商業銀行,67000,1.23317e+11,39406,7.2196e+10,0,0,1587,5.83e+08,18821,9.293e+09
144,144,144,2013-11-26 22:30:08.616068,N016      ,2006-02-01 00:00:00,嘉義巿第四信用合作社,89,2.89e+08,8,4e+06,0,0,0,0,0,0
145,145,145,2013-11-26 22:30:08.617944,099       ,2006-02-01 00:00:00,比利時商比利時聯合銀行,11,3.4e+07,0,0,0,0,0,0,0,0
146,146,146,2013-11-26 22:30:08.620191,050       ,2006-02-01 00:00:00,臺灣中小企業銀行,77797,1.23869e+11,7615,1.3768e+10,0,0,15928,8.789e+09,45952,3.0665e+10
147,147,147,2013-11-26 22:30:08.623096,104       ,2006-02-01 00:00:00,台北市第五信用合作社,1335,3.062e+09,13,1e+06,0,0,0,0,1625,3.85e+08
148,148,148,2013-11-26 22:30:08.62523,N017      ,2006-02-01 00:00:00,宜蘭信用合社,707,1.156e+09,303,3.85e+08,0,0,0,0,456,4e+07
149,149,149,2013-11-26 22:30:08.627335,102       ,2006-02-01 00:00:00,華泰商業銀行,3483,1.4915e+10,4520,1.4519e+10,0,0,0,0,6861,2.571e+09
150,150,150,2013-11-26 22:30:08.629362,N018      ,2006-02-01 00:00:00,台南第六信用合作社,0,0,0,0,0,0,0,0,0,0
151,151,151,2013-11-26 22:30:08.631564,381       ,2006-02-01 00:00:00,交通銀行,21632,5.0372e+10,4033,1.1896e+10,2901,1.16e+09,150,4.1e+07,6354,6.063e+09
152,152,152,2013-11-26 22:30:08.633886,103       ,2006-02-01 00:00:00,臺灣新光商業銀行,15387,4.0747e+10,553,9.12e+08,25081,6.669e+09,0,0,237557,3.5693e+10
153,153,153,2013-11-26 22:30:08.635998,321       ,2006-02-01 00:00:00,日商三井住友銀行,0,0,0,0,0,0,0,0,0,0
154,154,154,2013-11-26 22:30:08.638008,004       ,2006-02-01 00:00:00,臺灣銀行,95578,1.73812e+11,23023,3.0436e+10,0,0,18773,8.577e+09,2387350,1.26716e+11
155,155,155,2013-11-26 22:30:08.640004,158       ,2006-02-01 00:00:00,彰化第一信用合作社,1017,1.728e+09,233,2.4e+08,0,0,0,0,7,2e+06
156,156,156,2013-11-26 22:30:08.642128,076       ,2006-02-01 00:00:00,美商摩根大通銀行,0,0,0,0,0,0,0,0,0,0
157,157,157,2013-11-26 22:30:08.644406,079       ,2006-02-01 00:00:00,比利時商富通銀行,0,0,0,0,0,0,0,0,0,0
158,158,158,2013-11-26 22:30:08.646089,147       ,2006-02-01 00:00:00,三信商業銀行,5347,1.5435e+10,2049,5.002e+09,9445,3.975e+09,0,0,19785,1.0803e+10
159,159,159,2013-11-26 22:30:08.648294,151       ,2006-02-01 00:00:00,第七商業銀行,5694,1.077e+10,1963,2.544e+09,15,7e+06,0,0,220,5e+06
160,160,160,2013-11-26 22:30:08.650263,085       ,2006-02-01 00:00:00,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
161,161,161,2013-11-26 22:30:08.652223,816       ,2006-02-01 00:00:00,安泰商業銀行,21360,4.6792e+10,9460,1.9857e+10,16171,4.621e+09,367,4.4e+07,65285,3.0663e+10
